City,County,Code,Site,Waste Type,Waste Sub-Type,Description,Category,Label,Volume in mt,Increase,BQ,Radionuclides
THIVERVAL-GRIGNON,Yvelines,78615,INRAE - VERSAILLES-GRIGNON CENTER - U 1402 - ECOSYS-EGER,,,"LS-LH (0,03 m3)",Low and medium short-lived activity,F3-7-01,0,,"6,00E+06",14C
THIVERVAL-GRIGNON,Yvelines,78615,INRAE - VERSAILLES-GRIGNON CENTER - U 1402 - ECOSYS-EGER,,,"SNC (0,12 m3)",Very low activity,TFA(SC-SNC),"0,12",,"3,00E+07",14C
THIVERVAL-GRIGNON,Yvelines,78615,INRAE - VERSAILLES-GRIGNON CENTER - U 1402 - ECOSYS-EGER,,,"SC (0,12 m3)",Very low activity,TFA(SC-SNC),"0,0768",,"2,00E+07",14C
VERSAILLES,Yvelines,78646,INRAE - VERSAILLES-GRIGNON CENTER - SDAR UNIT,,,"SC (0,01 m3)",Very low activity,TFA(SC-SNC),"0,0064",,"8,00E+08",3H
VERSAILLES,Yvelines,78646,INRAE - VERSAILLES-GRIGNON CENTER - SDAR UNIT,,,"SNC (0,0186 m3)",Very low activity,TFA(SC-SNC),"0,0186",,"1,11E+06",137Cs
DIJON,Côte-d'Or,21231,INRAE - RESEARCH CENTER OF DIJON BOURGOGNE - FRANCHE-COMTE - UMR 1347 - AGROECOLOGY,,,"SL (0,6 m3)",Low and medium short-lived activity,F3-7-01,"0,0354",,"1,00E+08",14C
DIJON,Côte-d'Or,21231,INRAE - RESEARCH CENTER OF DIJON BOURGOGNE - FRANCHE-COMTE - UMR 1347 - AGROECOLOGY,,,"SC (0,12 m3)",Very low activity,TFA(SC-SNC),"0,0768",,"6,00E+06",14C
DIJON,Côte-d'Or,21231,INRAE - RESEARCH CENTER OF DIJON BOURGOGNE - FRANCHE-COMTE - UMR 1347 - AGROECOLOGY,,,"L.A. (0,02 m3)",Low and medium short-lived activity,F3-7-01,0,,"2,00E+06",14C
DIJON,Côte-d'Or,21231,INRAE - RESEARCH CENTER OF DIJON BOURGOGNE - FRANCHE-COMTE - UMR 1347 - AGROECOLOGY,,,"SNC (0,12 m3)",Very low activity,TFA(SC-SNC),"0,12",,"1,20E+06",14C
DIJON,Côte-d'Or,21231,INRAE - RESEARCH CENTER OF DIJON BOURGOGNE - FRANCHE-COMTE - UMR 1347 - AGROECOLOGY,,,"SO (0,01 m3)",Low and medium short-lived activity,F3-7-01,"0,00079",,"3,70E+07",3H
DIJON,Côte-d'Or,21231,INRAE - RESEARCH CENTER OF DIJON BOURGOGNE - FRANCHE-COMTE - UMR 1347 - AGROECOLOGY,,,"SL (0,12 m3)",Low and medium short-lived activity,F3-7-01,"0,00708",,"2,00E+08",14C
DIJON,Côte-d'Or,21231,INRAE - RESEARCH CENTER OF DIJON BOURGOGNE - FRANCHE-COMTE - UMR 1347 - AGROECOLOGY,,,"SC (0,12 m3)",Very low activity,TFA(SC-SNC),"0,0768",,"6,00E+06",14C
JOUY-EN-JOSAS,Yvelines,78322,INRAE - JOUY EN JOSAS RESEARCH CENTER - UR 892 MOLECULAR VIROLOGY AND IMMUNOLOGY,,,"DIV9-06 (0,15 m3)",Long-lived low activity,DIV9-06,"0,15",,"0,00E+00",U
MONTPELLIER,Hérault,34172,INRAE - CENTER DE RECHERCHE DE MONTPELLIER - UMR BIOCHIMIE ET PHYSIOLOGY MOLECULAR DES PLANTES (BPMP),,,"SL (0,002 m3)",Low and medium short-lived activity,F3-7-01,"0,000118",,"1,00E+06","3H, 55Fe"
MONTPELLIER,Hérault,34172,INRAE - CENTER DE RECHERCHE DE MONTPELLIER - UMR BIOCHIMIE ET PHYSIOLOGY MOLECULAR DES PLANTES (BPMP),,,"SI (0,01 m3)",Low and medium short-lived activity,F3-7-01,"0,00079",,"1,00E+05",3H
MONTPELLIER,Hérault,34172,INRAE - MONTPELLIER RESEARCH CENTER - MUSCLE DYNAMICS AND METABOLISM UMR (DMEM),,,"SLV (0,000005 m3)",Low and medium short-lived activity,F3-7-01,"0,000000295",,"1,00E+07","3H, 14C"
MONTPELLIER,Hérault,34172,INRAE - MONTPELLIER RESEARCH CENTER - MUSCLE DYNAMICS AND METABOLISM UMR (DMEM),,,"SLV (0,000003 m3)",Low and medium short-lived activity,F3-7-01,"0,000000177",,1.85E+06,3H
MONTPELLIER,Hérault,34172,INRAE - MONTPELLIER RESEARCH CENTER - UMR LABORATORY FOR SOIL-AGROSYSTEM-HYDROSYSTEM INTERACTIONS (LISAH),,,"SL (0,15 m3)",Low and medium short-lived activity,F3-7-01,"0,00885",,"2,00E+06",14C
MONTPELLIER,Hérault,34172,INRAE - MONTPELLIER RESEARCH CENTER - UMR LABORATORY FOR SOIL-AGROSYSTEM-HYDROSYSTEM INTERACTIONS (LISAH),,,"SI (0,1 m3)",Low and medium short-lived activity,F3-7-01,"0,0079",,"5,00E+06",14C
MONTPELLIER,Hérault,34172,INRAE - MONTPELLIER RESEARCH CENTER - UMR LABORATORY FOR SOIL-AGROSYSTEM-HYDROSYSTEM INTERACTIONS (LISAH),,,"L.A. (0,09 m3)",Low and medium short-lived activity,F3-7-01,0,,"3,60E+07","3H, 14C"
MONTPELLIER,Hérault,34172,INRAE - MONTPELLIER RESEARCH CENTER - UMR LABORATORY FOR SOIL-AGROSYSTEM-HYDROSYSTEM INTERACTIONS (LISAH),,,"SNC (0,03 m3)",Very low activity,TFA(SC-SNC),"0,03",,"7,00E+06","3H, 14C"
SAINT-GILLES,Ille-et-Vilaine,30258,INRAE - RENNES RESEARCH CENTER - AniScans,,,"L.A. (0,02 m3)",Low and medium short-lived activity,F3-7-01,0,,9.80E+04,68Ge
SAINT-GILLES,Ille-et-Vilaine,30258,"INRAE - RENNES RESEARCH CENTER - UMR PEGASE (PHYSIOLOGY, ENVIRONMENT AND GENETICS FOR ANIMALS AND LIVESTOCK SYSTEMS)",,,"SI (0,1 m3)",Low and medium short-lived activity,F3-7-01,"0,0079",,"1,00E+05",3H
SAINT-GILLES,Ille-et-Vilaine,30258,"INRAE - RENNES RESEARCH CENTER - UMR PEGASE (PHYSIOLOGY, ENVIRONMENT AND GENETICS FOR ANIMALS AND LIVESTOCK SYSTEMS)",,,"SNC (0,1 m3)",Very low activity,TFA(SC-SNC),"0,1",,"1,00E+05",3H
CASTANET-TOLOSAN,Haute-Garonne,31113,INRAE - TOULOUSE MIDI-PYRENEES RESEARCH CENTER - LABORATORY FOR PLANT-MICRO-ORGANISM ENVIRONMENTAL INTERACTIONS (LIPME) UMR INRA/CNRS 441/2594,,,"GAZ (0,03 m3)",Other?,DSF,"0,03",,"2,20E+05",14C
CASTANET-TOLOSAN,Haute-Garonne,31113,INRAE - TOULOUSE MIDI-PYRENEES RESEARCH CENTER - LABORATORY FOR PLANT-MICRO-ORGANISM ENVIRONMENTAL INTERACTIONS (LIPME) UMR INRA/CNRS 441/2594,,,"LA (0,005 m3)",Low and medium short-lived activity,F3-7-01,0,,3.64E+06,"3H, 14C"
CASTANET-TOLOSAN,Haute-Garonne,31113,INRAE - TOULOUSE MIDI-PYRENEES RESEARCH CENTER - LABORATORY FOR PLANT-MICRO-ORGANISM ENVIRONMENTAL INTERACTIONS (LIPME) UMR INRA/CNRS 441/2594,,,"SI (0,12 m3)",Low and medium short-lived activity,F3-7-01,"0,00948",,"2,26E+06","3H, 14C"
CASTANET-TOLOSAN,Haute-Garonne,31113,INRAE - TOULOUSE MIDI-PYRENEES RESEARCH CENTER - LABORATORY FOR PLANT-MICRO-ORGANISM ENVIRONMENTAL INTERACTIONS (LIPME) UMR INRA/CNRS 441/2594,,,"LA (0,0005 m3)",Low and medium short-lived activity,F3-7-01,0,,"4,87E+06",U
CASTANET-TOLOSAN,Haute-Garonne,31113,INRAE - TOULOUSE MIDI-PYRENEES RESEARCH CENTER - LABORATORY FOR PLANT-MICRO-ORGANISM ENVIRONMENTAL INTERACTIONS (LIPME) UMR INRA/CNRS 441/2594,,,"LA (0,00025 m3)",Low and medium short-lived activity,F3-7-01,0,,1.40E+05,U
CASTANET-TOLOSAN,Haute-Garonne,31113,INRAE - TOULOUSE MIDI-PYRENEES RESEARCH CENTER - LABORATORY FOR PLANT-MICRO-ORGANISM ENVIRONMENTAL INTERACTIONS (LIPME) UMR INRA/CNRS 441/2594,,,"SC (0,0015 m3)",Very low activity,TFA(SC-SNC),"0,00096",,"2,04E+05",U
CASTANET-TOLOSAN,Haute-Garonne,31113,INRAE - TOULOUSE MIDI-PYRENEES RESEARCH CENTER - LABORATORY FOR PLANT-MICRO-ORGANISM ENVIRONMENTAL INTERACTIONS (LIPME) UMR INRA/CNRS 441/2594,,,"SL (0,02 m3)",Low and medium short-lived activity,F3-7-01,"0,00118",,5.80E+05,3H
CASTANET-TOLOSAN,Haute-Garonne,31113,INRAE - TOULOUSE MIDI-PYRENEES RESEARCH CENTER - LABORATORY FOR PLANT-MICRO-ORGANISM ENVIRONMENTAL INTERACTIONS (LIPME) UMR INRA/CNRS 441/2594,,,"L.A. (0,01 m3)",Low and medium short-lived activity,F3-7-01,0,,4.64E+07,3H
CASTANET-TOLOSAN,Haute-Garonne,31113,INRAE - TOULOUSE MIDI-PYRENEES RESEARCH CENTER - LABORATORY FOR PLANT-MICRO-ORGANISM ENVIRONMENTAL INTERACTIONS (LIPME) UMR INRA/CNRS 441/2594,,,"SI (0,02 m3)",Low and medium short-lived activity,F3-7-01,"0,00158",,6.80E+05,3H
TOULOUSE,Haute-Garonne,31555,INRAE - TOULOUSE MIDI-PYRENEES RESEARCH CENTER - UMR 1331 TOXALIM,,,"SC (0,085 m3)",Very low activity,TFA(SC-SNC),"0,0544",,"3,60E+06","3H, 14C"
TOULOUSE,Haute-Garonne,31555,INRAE - TOULOUSE MIDI-PYRENEES RESEARCH CENTER - UMR 1331 TOXALIM,,,"LS-LH (0,12 m3)",Low and medium short-lived activity,F3-7-01,0,,"1,33E+06","3H, 14C"
NOUZILLY,Indre-et-Loire,37175,INRAE - TOURS RESEARCH CENTER - UMR PCR (PHYSIOLOGY OF REPRODUCTION AND BEHAVIOR),,,"LA (0,03 m3)",Low and medium short-lived activity,F3-7-01,0,,"3,70E+07",3H
NOUZILLY,Indre-et-Loire,37175,INRAE - TOURS RESEARCH CENTER - UMR PCR (PHYSIOLOGY OF REPRODUCTION AND BEHAVIOR),,,"SI (0,24 m3)",Low and medium short-lived activity,F3-7-01,"0,01896",,"2,50E+05",3H
NOUZILLY,Indre-et-Loire,37175,INRAE - TOURS RESEARCH CENTER - UMR PCR (PHYSIOLOGY OF REPRODUCTION AND BEHAVIOR),,,"SL (0,24 m3)",Low and medium short-lived activity,F3-7-01,"0,01416",,"4,00E+05",3H
NOUZILLY,Indre-et-Loire,37175,INRAE - TOURS RESEARCH CENTER - UMR PCR (PHYSIOLOGY OF REPRODUCTION AND BEHAVIOR),,,"SNC (0,04 m3)",Very low activity,TFA(SC-SNC),"0,04",,"5,00E+05",3H
AVIGNON,Vaucluse,84007,INRAZ - MONTFAVET RESEARCH CENTER - UR 407 PLANT PATHOLOGY,,,"L.A. (0,01 m3)",Low and medium short-lived activity,F3-7-01,0,,"3,10E+04",U
RENNES,Ille-et-Vilaine,35238,AGRO-AGROCAMPUS WEST INSTITUTE - BIOCHEMISTRY LABORATORY,,,"SL (0,08 m3)",Low and medium short-lived activity,F3-7-01,"0,00472",,"1,55E+08","3H, 14C"
RENNES,Ille-et-Vilaine,35238,AGRO-AGROCAMPUS WEST INSTITUTE - BIOCHEMISTRY LABORATORY,,,"L.A. (0,004 m3)",Low and medium short-lived activity,F3-7-01,0,,"1,27E+06","3H, 14C"
RENNES,Ille-et-Vilaine,35238,AGRO-AGROCAMPUS WEST INSTITUTE - BIOCHEMISTRY LABORATORY,,,"SI (0,003 m3)",Low and medium short-lived activity,F3-7-01,"0,000237",,"4,90E+05","3H, 14C"
RENNES,Ille-et-Vilaine,35238,AGRO-AGROCAMPUS WEST INSTITUTE - BIOCHEMISTRY LABORATORY,,,"LS-LH (0,014 m3)",Low and medium short-lived activity,F3-7-01,0,,"1,27E+06",14C
PARIS 14,Paris,75114,COCHIN INSTITUTE - INSERM - U 1016 - CNRS - UMR 8104 - RENE DESCARTES UNIVERSITY - FACULTY BUILDING,,,"SL (0,001 m3)",Low and medium short-lived activity,F3-7-01,"0,000059",,"2,54E+06",U
PARIS 14,Paris,75114,COCHIN INSTITUTE - INSERM - U 1016 - CNRS - UMR 8104 - RENE DESCARTES UNIVERSITY - FACULTY BUILDING,,,"SI (0,13 m3)",Low and medium short-lived activity,F3-7-01,"0,01027",,"4,00E+05","3H, 14C"
PARIS 14,Paris,75114,COCHIN INSTITUTE - INSERM - U 1016 - CNRS - UMR 8104 - RENE DESCARTES UNIVERSITY - FACULTY BUILDING,,,"SL (0,13 m3)",Low and medium short-lived activity,F3-7-01,"0,00767",,"3,00E+06","3H, 14C"
PARIS 05,Paris,75105,CURIE RESEARCH INSTITUTE - Paris Research Center,,,"SL (0,12 m3)",Low and medium short-lived activity,F3-7-01,"0,00708",,"5,50E+03",3H
PARIS 05,Paris,75105,CURIE RESEARCH INSTITUTE - Paris Research Center,,,"SC (0,12 m3)",Very low activity,TFA(SC-SNC),"0,0768",,"1,12E+05",U
PARIS 05,Paris,75105,CURIE RESEARCH INSTITUTE - Paris Research Center,,,TFA-06 (35 m3),Very low activity,TFA-06,35,,"8,00E+07",226Ra
PARIS 05,Paris,75105,CURIE RESEARCH INSTITUTE - Paris Research Center,,,"LA (0,03 m3)",Low and medium short-lived activity,F3-7-01,0,,"1,11E+05",U
PARIS 05,Paris,75105,CURIE RESEARCH INSTITUTE - Paris Research Center,,,"LA (0,03 m3)",Low and medium short-lived activity,F3-7-01,0,,"4,32E+06",3H
PARIS 05,Paris,75105,CURIE RESEARCH INSTITUTE - Paris Research Center,,,"SC (0,12 m3)",Very low activity,TFA(SC-SNC),"0,0768",,"1,11E+07",3H
ORSAY,Essonne,91471,CURIE RESEARCH INSTITUTE - Orsay Research Center,,,"SL (0,12 m3)",Low and medium short-lived activity,F3-7-01,"0,00708",,6.34E+06,3H
ORSAY,Essonne,91471,CURIE RESEARCH INSTITUTE - Orsay Research Center,,,"SC (0,24 m3)",Very low activity,TFA(SC-SNC),"0,1536",,"1,28E+07",3H
BORDEAUX,Gironde,33063,INSTITUTE OF BIOCHEMISTRY AND CELLULAR GENETICS - UMR 5095,,,"LA (0,03 m3)",Low and medium short-lived activity,F3-7-01,0,,"2,00E+06","3H, 14C, 36Cl"
BORDEAUX,Gironde,33063,INSTITUTE OF BIOCHEMISTRY AND CELLULAR GENETICS - UMR 5095,,,"SI (0,12 m3)",Low and medium short-lived activity,F3-7-01,"0,00948",,"2,00E+05","3H, 14C"
BORDEAUX,Gironde,33063,INSTITUTE OF BIOCHEMISTRY AND CELLULAR GENETICS - UMR 5095,,,"SL (0,04 m3)",Low and medium short-lived activity,F3-7-01,"0,00236",,"1,00E+03","32P, 35S"
BORDEAUX,Gironde,33063,INSTITUTE OF BIOCHEMISTRY AND CELLULAR GENETICS - UMR 5095,,,"SNC (0,04 m3)",Very low activity,TFA(SC-SNC),"0,04",,"1,00E+06","3H, 14C"
PARIS 05,Paris,75105,INSTITUTE OF BIOLOGY OF THE HIGHER NORMAL SCHOOL - CNRS UMR8197 - INSERM U1024,,,"L.A. (0,1 m3)",Low and medium short-lived activity,F3-7-01,0,,"7,00E+05",3H
PARIS 05,Paris,75105,INSTITUTE OF BIOLOGY OF THE HIGHER NORMAL SCHOOL - CNRS UMR8197 - INSERM U1024,,,"SI (0,1 m3)",Low and medium short-lived activity,F3-7-01,"0,0079",,"1,53E+06",3H
PARIS 05,Paris,75105,INSTITUTE OF BIOLOGY OF THE HIGHER NORMAL SCHOOL - CNRS UMR8197 - INSERM U1024,,,"SI (0,12 m3)",Low and medium short-lived activity,F3-7-01,"0,00948",,"4,21E+07","234U, 235U"
PARIS 05,Paris,75105,INSTITUTE OF BIOLOGY OF THE HIGHER NORMAL SCHOOL - CNRS UMR8197 - INSERM U1024,,,"L.A. (0,01 m3)",Low and medium short-lived activity,F3-7-01,0,,"1,87E+06","234U, 235U, 238U"
LILLE,Nord,59350,INSTITUTE OF BIOLOGY OF LILLE - CANTHER - CNRS UMR 9020 - INSERM UMR 1277,,,"L.A. (0,1 m3)",Low and medium short-lived activity,F3-7-01,0,,"4,31E+08",3H
LILLE,Nord,59350,INSTITUTE OF BIOLOGY OF LILLE - CANTHER - CNRS UMR 9020 - INSERM UMR 1277,,,"SI (0,45 m3)",Low and medium short-lived activity,F3-7-01,"0,03555",,"5,89E+06",3H
LILLE,Nord,59350,INSTITUTE OF BIOLOGY OF LILLE - CANTHER - CNRS UMR 9020 - INSERM UMR 1277,,,"SL (0,07 m3)",Low and medium short-lived activity,F3-7-01,"0,00413",,"1,20E+05",3H
STRASBOURG,Bas-Rhin,67482,INSTITUT DE BIOLOGY MOLECULAR ET CELLULAR (IBMC) - CNRS - UPR 9002 ARCHITECTURE ET REACTIVITE DE L&#39;ARN,,,"SI (0,03 m3)",Low and medium short-lived activity,F3-7-01,"0,00237",,"5,00E+08","3H, 14C"
STRASBOURG,Bas-Rhin,67482,INSTITUT DE BIOLOGY MOLECULAR ET CELLULAR (IBMC) - CNRS - UPR 9002 ARCHITECTURE ET REACTIVITE DE L&#39;ARN,,,"L.A. (0,12 m3)",Low and medium short-lived activity,F3-7-01,0,,"9,00E+08","3H, 14C"
PARIS 05,Paris,75105,INSTITUTE OF PHYSICO-CHEMICAL BIOLOGY - CNRS - UMR 7141 MEMBRANE AND MOLECULAR PHYSIOLOGY OF CHLOROPLAST,,,"L.A. (0,006 m3)",Low and medium short-lived activity,F3-7-01,0,,9.40E+06,14C
PARIS 05,Paris,75105,INSTITUTE OF PHYSICO-CHEMICAL BIOLOGY - CNRS - UMR 7141 MEMBRANE AND MOLECULAR PHYSIOLOGY OF CHLOROPLAST,,,"SI (0,03 m3)",Low and medium short-lived activity,F3-7-01,"0,00237",,"3,00E+06",14C
PARIS 05,Paris,75105,INSTITUTE OF PHYSICO-CHEMICAL BIOLOGY - CNRS UMR 8261,,,L.A. (12 m3),Low and medium short-lived activity,F3-7-01,0,,"7,50E+07",3H
PARIS 05,Paris,75105,INSTITUTE OF PHYSICO-CHEMICAL BIOLOGY - CNRS UMR 8261,,,SC (9 m3),Very low activity,TFA(SC-SNC),"5,76",,"7,50E+06","3H, 14C"
PARIS 05,Paris,75105,INSTITUTE OF PHYSICO-CHEMICAL BIOLOGY - CNRS UMR 8261,,,SL (12 m3),Low and medium short-lived activity,F3-7-01,"0,708",,"7,50E+06","3H, 14C"
TOULOUSE,Haute-Garonne,31555,PIERRE FABRE RESEARCH INSTITUTE - TOULOUSE ONCOPOLIS,,,"SC (0,36 m3)",Very low activity,TFA(SC-SNC),"0,2304",,"3,20E+05",14C
TOULOUSE,Haute-Garonne,31555,PIERRE FABRE RESEARCH INSTITUTE - TOULOUSE ONCOPOLIS,,,"LS-LH (0,27 m3)",Low and medium short-lived activity,F3-7-01,0,,"3,18E+06",14C
TOULOUSE,Haute-Garonne,31555,PIERRE FABRE RESEARCH INSTITUTE - TOULOUSE ONCOPOLIS,,,"SLV (0,36 m3)",Low and medium short-lived activity,F3-7-01,"0,02124",,"6,13E+06",14C
TOULOUSE,Haute-Garonne,31555,PIERRE FABRE RESEARCH INSTITUTE - TOULOUSE ONCOPOLIS,,,"SL (0,12 m3)",Low and medium short-lived activity,F3-7-01,"0,00708",,"1,30E+04",14C
TOULOUSE,Haute-Garonne,31555,PIERRE FABRE RESEARCH INSTITUTE - TOULOUSE ONCOPOLIS,,,"SNC (0,04 m3)",Very low activity,TFA(SC-SNC),"0,04",,"5,00E+05","3H, 14C"
STRASBOURG,Bas-Rhin,67482,INSTITUTE OF CELLULAR AND INTEGRATIVE NEUROSCIENCES - CNRS - UPR 3212,,,"LS-LH (0,03 m3)",Low and medium short-lived activity,F3-7-01,0,,4.80E+06,"3H, 14C"
PARIS 15,Paris,75115,NATIONAL INSTITUTE OF BLOOD TRANSFUSION - INSERM-UP7 UMR S 1134 INTEGRATED BIOLOGY OF THE RED BLOOD CELL,,,"SI (0,01 m3)",Low and medium short-lived activity,F3-7-01,"0,00079",,"3,27E+07",3H
PARIS 15,Paris,75115,NATIONAL INSTITUTE OF BLOOD TRANSFUSION - INSERM-UP7 UMR S 1134 INTEGRATED BIOLOGY OF THE RED BLOOD CELL,,,"SI (0,001 m3)",Low and medium short-lived activity,F3-7-01,"0,000079",,"4,00E+04",14C
VANDOEUVRE-LES-NANCY,Meurthe-et-Moselle,54547,NATIONAL SAFETY RESEARCH INSTITUTE (INRS) - LORRAINE CENTER - TOXICOLOGY,,,"SLV (0,09 m3)",Low and medium short-lived activity,F3-7-01,"0,00531",,"4,70E+07",14C
VANDOEUVRE-LES-NANCY,Meurthe-et-Moselle,54547,NATIONAL SAFETY RESEARCH INSTITUTE (INRS) - LORRAINE CENTER - TOXICOLOGY,,,"LA (0,015 m3)",Low and medium short-lived activity,F3-7-01,0,,"5,70E+04",14C
VANDOEUVRE-LES-NANCY,Meurthe-et-Moselle,54547,NATIONAL SAFETY RESEARCH INSTITUTE (INRS) - LORRAINE CENTER - TOXICOLOGY,,,"LS-LH (0,015 m3)",Low and medium short-lived activity,F3-7-01,0,,"2,50E+06",14C
VANDOEUVRE-LES-NANCY,Meurthe-et-Moselle,54547,NATIONAL SAFETY RESEARCH INSTITUTE (INRS) - LORRAINE CENTER - TOXICOLOGY,,,"SO (0,06 m3)",Low and medium short-lived activity,F3-7-01,"0,00474",,2.80E+05,14C
VANDOEUVRE-LES-NANCY,Meurthe-et-Moselle,54547,NATIONAL SAFETY RESEARCH INSTITUTE (INRS) - LORRAINE CENTER - TOXICOLOGY,,,"SL (0,12 m3)",Low and medium short-lived activity,F3-7-01,"0,00708",,1.40E+07,14C
VANDOEUVRE-LES-NANCY,Meurthe-et-Moselle,54547,NATIONAL SAFETY RESEARCH INSTITUTE (INRS) - LORRAINE CENTER - TOXICOLOGY,,,"SNC (0,1 m3)",Very low activity,TFA(SC-SNC),"0,1",,8.40E+05,14C
VANDOEUVRE-LES-NANCY,Meurthe-et-Moselle,54547,NATIONAL SAFETY RESEARCH INSTITUTE (INRS) - LORRAINE CENTER - TOXICOLOGY,,,"SC (0,25 m3)",Very low activity,TFA(SC-SNC),"0,16",,"7,50E+05",14C
VANDOEUVRE-LES-NANCY,Meurthe-et-Moselle,54547,NATIONAL SAFETY RESEARCH INSTITUTE (INRS) - LORRAINE CENTER - TOXICOLOGY,,,"SI (0,005 m3)",Low and medium short-lived activity,F3-7-01,"0,000395",,"3,50E+03",U
LES ABYMES,Guadeloupe,97101,INSTITUT PASTEUR DE GUADELOUPE - MYCOBACTERIA LABORATORY - BIOMEDICAL RESEARCH,,,"SLV (0,00001 m3)",Low and medium short-lived activity,F3-7-01,"0,00000059",,7.40E+05,3H
LES ABYMES,Guadeloupe,97101,INSTITUT PASTEUR DE GUADELOUPE - MYCOBACTERIA LABORATORY - BIOMEDICAL RESEARCH,,,"SLV (0,00015 m3)",Low and medium short-lived activity,F3-7-01,"0,00000885",,"1,95E+07",14C
CAYENNE,Guyane,97302,INSTITUT PASTEUR IN GUIANA - PARASITOLOGY,,,"SI (0,12 m3)",Low and medium short-lived activity,F3-7-01,"0,00948",,"2,00E+06",3H
CAYENNE,Guyane,97302,INSTITUT PASTEUR IN GUIANA - PARASITOLOGY,,,"LA (0,03 m3)",Low and medium short-lived activity,F3-7-01,0,,5.80E+07,3H
CAYENNE,Guyane,97302,INSTITUT PASTEUR IN GUIANA - PARASITOLOGY,,,"SC (0,12 m3)",Very low activity,TFA(SC-SNC),"0,0768",,"2,00E+06",3H
CAYENNE,Guyane,97302,INSTITUT PASTEUR IN GUIANA - PARASITOLOGY,,,"SC (0,12 m3)",Very low activity,TFA(SC-SNC),"0,0768",,"2,00E+06",3H
PARIS 15,Paris,75115,INSTITUT PASTEUR DE PARIS - ALL THE RESEARCH UNITS OF THE INSTITUT PASTEUR,,,"SI (0,24 m3)",Low and medium short-lived activity,F3-7-01,"0,01896",,"4,30E+06","3H, 14C, U"
PARIS 15,Paris,75115,INSTITUT PASTEUR DE PARIS - ALL THE RESEARCH UNITS OF THE INSTITUT PASTEUR,,,"SL (0,12 m3)",Low and medium short-lived activity,F3-7-01,"0,00708",,"4,20E+06","3H, 14C"
PARIS 15,Paris,75115,INSTITUT PASTEUR DE PARIS - ALL THE RESEARCH UNITS OF THE INSTITUT PASTEUR,,,"LA (0,013 m3)",Low and medium short-lived activity,F3-7-01,0,,1.41E+06,"3H, 14C"
STRASBOURG,Bas-Rhin,67482,HUBERT CURIEN INSTITUTE FOR PLURID DISCIPLINARY (IPHC) - UMR 7178 - DRS,,,"LA (0,05 m3)",Low and medium short-lived activity,F3-7-01,0,,"1,00E+05","54Mn, 57Co, 58Co, 56Co, 88Y, 52Mn"
STRASBOURG,Bas-Rhin,67482,HUBERT CURIEN INSTITUTE FOR PLURID DISCIPLINARY (IPHC) - UMR 7178 - DRS,,,"TFA-06 (0,004 m3)",Very low activity,TFA-06,"0,004",,"1,50E+08","54Mn, 57Co, 58Co, 56Co"
STRASBOURG,Bas-Rhin,67482,HUBERT CURIEN INSTITUTE FOR PLURID DISCIPLINARY (IPHC) - UMR 7178 - DRS,,,"SI (0,08 m3)",Low and medium short-lived activity,F3-7-01,"0,00632",,"1,00E+06","54Mn, 60Co, 57Co, 65Zn, 58Co"
STRASBOURG,Bas-Rhin,67482,HUBERT CURIEN INSTITUTE FOR PLURID DISCIPLINARY (IPHC) - UMR 7178 - DRS,,,"SL (0,04 m3)",Low and medium short-lived activity,F3-7-01,"0,00236",,"5,00E+06",3H
STRASBOURG,Bas-Rhin,67482,HUBERT CURIEN INSTITUTE FOR PLURID DISCIPLINARY (IPHC) - UMR 7178 - DRS,,,"SI (0,06 m3)",Low and medium short-lived activity,F3-7-01,"0,00474",,"4,00E+06","152Eu, 232U, 241Am, 243Am"
MONTPELLIER,Hérault,34172,REGIONAL CANCER INSTITUTE - CANCER RESEARCH INSTITUTE OF MONTPELLIER -INSERM U1194,,,"SI (0,12 m3)",Low and medium short-lived activity,F3-7-01,"0,00948",,"3,70E+06","3H, 14C"
MONTPELLIER,Hérault,34172,REGIONAL CANCER INSTITUTE - CANCER RESEARCH INSTITUTE OF MONTPELLIER -INSERM U1194,,,"SL (0,12 m3)",Low and medium short-lived activity,F3-7-01,"0,00708",,"1,00E+06","3H, 14C"
MONTPELLIER,Hérault,34172,REGIONAL CANCER INSTITUTE - CANCER RESEARCH INSTITUTE OF MONTPELLIER -INSERM U1194,,,"L.A. (0,018 m3)",Low and medium short-lived activity,F3-7-01,0,,"2,00E+07","3H, 14C"
DAIX,Côte-d'Or,21223,INVENTIVA - PHARMACEUTICAL RESEARCH,,,"SL (0,12 m3)",Low and medium short-lived activity,F3-7-01,"0,00708",,"2,33E+08","3H, 14C"
DAIX,Côte-d'Or,21223,INVENTIVA - PHARMACEUTICAL RESEARCH,,,"SI (0,12 m3)",Low and medium short-lived activity,F3-7-01,"0,00948",,1.40E+07,"3H, 14C, 129I"
LES ULIS,Essonne,91692,IPSEN INNOVATION - HENRI BEAUFOUR INSTITUTE - Competent Department in Radiation Protection,,,"LA (0,005 m3)",Low and medium short-lived activity,F3-7-01,0,,"1,00E+00","3H, 14C"
LES ULIS,Essonne,91692,IPSEN INNOVATION - HENRI BEAUFOUR INSTITUTE - Competent Department in Radiation Protection,,,"SI (0,006 m3)",Low and medium short-lived activity,F3-7-01,"0,000474",,"1,00E+00","3H, 14C"
