City,County,Site,Waste_Type,Description,Label,Volume_in_mt,BQ,Radionuclides
LES ABYMES,Guadeloupe,CIMGUA - MOLECULAR IMAGING,,DGD - Declining managed waste,DGD,"5,428",-,18F
SAINT-CYR-SUR-LOIRE,Indre-et-Loire,NUCLEAR MEDICINE TOURANGELLE - NUCLEAR MEDICINE SAINT-CYR-SUR-LOIRE,,DGD - Declining managed waste,DGD,"0,2",-,"57Co,18F,99Mo,99mTc"
BEAUVAIS,Oise,SCINTIGRAPHIC IMAGING SELARL - BEAUVAIS TEP CENTER,,DGD - Declining managed waste,DGD,"1,56",-,18F
MACON,Saône-et-Loire,SCM TEP MACON - CENTRE  TEP MACON,,DGD - Declining managed waste,DGD,"0,05",-,18F
CODOLET,Gard,CISBIO BIOASSAYS - CODOLET SITE,déchets gérés en décroissance,waste in drums (16 drums100 L),DGD,"1,6",Data updated with each new edition of the National Inventory,
CODOLET,Gard,CISBIO BIOASSAYS - CODOLET SITE,déchets gérés en décroissance,cardboard waste (540 boxes 50 l),DGD,27,Data updated with each new edition of the National Inventory,
BEUVRY,Pas-de-Calais,ADVANCED ACCELERATOR APPLICATIONS - RADIOPHARMACEUTICAL PRODUCTION: BEUVRY,,"SNC (0,0003 m3)",TFA(SC-SNC),"0,0003","0,00E+00","57Co, 109Cd"
BEUVRY,Pas-de-Calais,ADVANCED ACCELERATOR APPLICATIONS - RADIOPHARMACEUTICAL PRODUCTION: BEUVRY,,"SNC (0,22 m3)",TFA(SC-SNC),"0,22","0,00E+00","57Co, 109Cd"
BEUVRY,Pas-de-Calais,ADVANCED ACCELERATOR APPLICATIONS - RADIOPHARMACEUTICAL PRODUCTION: BEUVRY,,"TFA-07 (0,62 m3)",TFA-07,"0,62","0,00E+00",
ROSIERES-PRES-TROYES,Aube,ADVANCED ACCELERATOR APPLICATIONS - PRODUCTION RADIOPHARMACEUTIQUE : ROSIERES PRES TROYES,,"SC (0,2 m3)",TFA(SC-SNC),"0,128","0,00E+00","54Mn, 60Co, 57Co, 58Co, 51Cr, 56Co"
ROSIERES-PRES-TROYES,Aube,ADVANCED ACCELERATOR APPLICATIONS - PRODUCTION RADIOPHARMACEUTIQUE : ROSIERES PRES TROYES,,"SC (0,086 m3)",TFA(SC-SNC),"0,05504","0,00E+00","54Mn, 60Co, 57Co, 58Co, 51Cr, 56Co"
ROSIERES-PRES-TROYES,Aube,ADVANCED ACCELERATOR APPLICATIONS - PRODUCTION RADIOPHARMACEUTIQUE : ROSIERES PRES TROYES,,"SC (0,0002 m3)",TFA(SC-SNC),"0,000128","0,00E+00","54Mn, 60Co, 57Co, 58Co, 51Cr, 56Co"
SAINT-CLOUD,Hauts-de-Seine,ADVANCED ACCELERATOR APPLICATIONS - PRODUCTION RADIOPHARMACEUTIQUE : ST CLOUD,,"SC (0,28 m3)",TFA(SC-SNC),"0,1792","0,00E+00","60Co, 57Co, 109Cd, 58Co, 51Cr, 56Co"
SAINT-CLOUD,Hauts-de-Seine,ADVANCED ACCELERATOR APPLICATIONS - PRODUCTION RADIOPHARMACEUTIQUE : ST CLOUD,,"SC (0,004 m3)",TFA(SC-SNC),"0,00256","0,00E+00","54Mn, 60Co, 57Co, 58Co, 51Cr, 56Co"
SAINT-GENIS-POUILLY,Ain,ADVANCED ACCELERATOR APPLICATIONS - RADIOPHARMACEUTICAL PRODUCTION: ST GENIS POUILLY,,"SC (0,305 m3)",TFA(SC-SNC),"0,1952","0,00E+00","54Mn, 60Co, 57Co, 58Co, 51Cr, 56Co"
SAINT-GENIS-POUILLY,Ain,ADVANCED ACCELERATOR APPLICATIONS - RADIOPHARMACEUTICAL PRODUCTION: ST GENIS POUILLY,,"SNC (0,0003 m3)",TFA(SC-SNC),"0,0003","0,00E+00","54Mn, 60Co, 57Co, 58Co, 51Cr, 56Co"
BLAGNAC,Haute-Garonne,ARCYS - INDUSTRIAL MAINTENANCE,,"SC (0,15 m3)",TFA(SC-SNC),"0,096","7,50E+06","54Mn, 55Fe, 60Co, 110mAg, 137Cs"
LE HAILLAN,Gironde,ARIANEGROUP - BORDEAUX SITE,,TFA-09 (5 m3),TFA-09,5,"0,00E+00",40K
SEVRES,Hauts-de-Seine,BIPM - IONIZING RADIATION,,"SC (0,07 m3)",TFA(SC-SNC),"0,0448",1.85E+05,"3H, 14C, 55Fe, 63Ni, 99Tc, 204Tl"
SEVRES,Hauts-de-Seine,BIPM - IONIZING RADIATION,,"SNC (0,05 m3)",TFA(SC-SNC),"0,05","1,50E+05","14C, 55Fe, 63Ni"
SEVRES,Hauts-de-Seine,BIPM - IONIZING RADIATION,,"SNC (0,045 m3)",TFA(SC-SNC),"0,045","1,50E+04",241Am
THIAIS,Val-de-Marne,THIAIS CANCEROLOGY CENTER - RADIOTHERAPY,,"TFA-06 (0,8 m3)",TFA-06,"0,8","0,00E+00","54Mn, 60Co, 57Co, 59Fe"
SARCELLES,Val-d'Oise,CIS BIO INTERNATIONAL - CIS BIO INTERNATIONAL SARCELLES,,"SNC (0,08 m3)",TFA(SC-SNC),"0,08","0,00E+00","57Co, 58Co, 56Co"
SARCELLES,Val-d'Oise,CIS BIO INTERNATIONAL - CIS BIO INTERNATIONAL SARCELLES,,"TFA-09 (0,43 m3)",TFA-09,"0,43","0,00E+00",
VANDOEUVRE-LES-NANCY,Meurthe-et-Moselle,CIS BIO INTERNATIONAL - CIS BIO INTERNATIONAL VANDOEUVRE,,"TFA-09 (0,36 m3)",TFA-09,"0,36","0,00E+00",
VANDOEUVRE-LES-NANCY,Meurthe-et-Moselle,CIS BIO INTERNATIONAL - CIS BIO INTERNATIONAL VANDOEUVRE,,"SNC (0,48 m3)",TFA(SC-SNC),"0,48","0,00E+00","54Mn, 57Co, 58Co, 51Cr, 56Co"
PESSAC,Gironde,CIS BIO INTERNATIONAL - RADIOPHARMACEUTICAL PRODUCTION (BORDEAUX),,"SNC (0,12 m3)",TFA(SC-SNC),"0,12","9,00E+05","54Mn, 57Co, 109Cd, 58Co, 51Cr, 56Co"
PESSAC,Gironde,CIS BIO INTERNATIONAL - RADIOPHARMACEUTICAL PRODUCTION (BORDEAUX),,"SC (0,12 m3)",TFA(SC-SNC),"0,0768",8.40E+05,"54Mn, 57Co, 109Cd, 58Co, 51Cr, 56Co"
PESSAC,Gironde,CIS BIO INTERNATIONAL - RADIOPHARMACEUTICAL PRODUCTION (BORDEAUX),,"TFA-09 (0,12 m3)",TFA-09,"0,12","0,00E+00",
VALENCE,Drôme,CRIIRAD - Laboratory,,"SC (0,092 m3)",TFA(SC-SNC),"0,05888","2,60E+05","137Cs, 226Ra, U, Th"
NIMES,Gard,CURIUM PET FRANCE - PRODUCTION RADIOPHARMACEUTIQUE (NIMES),,"SNC (0,11 m3)",TFA(SC-SNC),"0,11","1,00E+07","54Mn, 57Co, 65Zn, 58Co, 56Co, 183Re"
NIMES,Gard,CURIUM PET FRANCE - PRODUCTION RADIOPHARMACEUTIQUE (NIMES),,"TFA-09 (0,4 m3)",TFA-09,"0,4","0,00E+00",
PARIS 10,Paris,CURIUM PET FRANCE - PRODUCTION RADIOPHARMACEUTIQUE (PARIS),,"SNC (0,12 m3)",TFA(SC-SNC),"0,12","5,93E+05","54Mn, 57Co, 109Cd, 58Co, 51Cr, 56Co"
PARIS 10,Paris,CURIUM PET FRANCE - PRODUCTION RADIOPHARMACEUTIQUE (PARIS),,"TFA-09 (0,12 m3)",TFA-09,"0,12","0,00E+00",
ANNECY,Haute-Savoie,"DASSAULT AVIATION - ARGONAY - DESIGN, PRODUCTION OF FLIGHT CONTROLS",,"SC (0,033 m3)",TFA(SC-SNC),"0,02112","3,30E+10",3H
POISSY,Yvelines,ENVEA - POISSY,,"SNC (0,05 m3)",TFA(SC-SNC),"0,05","4,00E+05","14C, 147Pm"
ARRAS,Pas-de-Calais,SPACE ARTOIS HEALTH ARRAS - RADIOTHERAPY ARRAS,,"TFA-07 (0,063 m3)",TFA-07,"0,063","0,00E+00",
BEUVRY,Pas-de-Calais,EIG RADIAPOLE - PIERRE CURIE BEUVRY CENTER,,"TFA-07 (0,04 m3)",TFA-07,"0,04","0,00E+00",
MONTBELIARD,Doubs,NORTH FRANCHE-COMTE HOSPITAL - RADIOTHERAPY,,"TFA-07 (0,2 m3)",TFA-07,"0,2","0,00E+00",
GLISY,Somme,CYCLOPHARMA LABORATORIES - GLISY,,"TFA-09 (0,61 m3)",TFA-09,"0,61","1,00E+09","54Mn, 57Co, 65Zn, 58Co, 56Co"
JANNEYRIAS,Isère,CYCLOPHARMA LABORATORIES - JANNEYRIAS,,"TFA-09 (0,61 m3)",TFA-09,"0,61","1,00E+09","54Mn, 57Co"
SAINT-BEAUZIRE,Puy-de-Dôme,CYCLOPHARMA LABORATORIES - SAINT-BEAUZIRE,,"TFA-09 (0,6 m3)",TFA-09,"0,6","1,00E+09","54Mn, 57Co"
TOURS,Indre-et-Loire,CYCLOPHARMA LABORATORIES - TOWERS,,"TFA-09 (0,8 m3)",TFA-09,"0,8","1,00E+09","54Mn, 57Co"
OLIVET,Loiret,LORYON - SITE D'OLIVET,,"SC (0,12 m3)",TFA(SC-SNC),"0,0768","2,08E+04","3H, 14C"
LIMOGES,Haute-Vienne,PEARL - PEARL LIMOGES,,"SC (0,06 m3)",TFA(SC-SNC),"0,0384","1,06E+03","90Sr, 210Pb, 208Po, 226Ra, 232U, 239Pu"
LIMOGES,Haute-Vienne,PEARL - PEARL LIMOGES,,"SNC (0,0001 m3)",TFA(SC-SNC),"0,0001","2,79E+02","210Pb, 226Ra, 232Th"
NORROY-LE-VENEUR,Moselle,PREMIUM ANALYSIS - NORROY LE VENEUR SITE,,"SNC (0,02 m3)",TFA(SC-SNC),"0,02","2,00E+05",3H
SAINT-ETIENNE-DU-ROUVRAY,Seine-Maritime,SGS FRANCE - RADIOACTIVITE,,"SNC (0,02 m3)",TFA(SC-SNC),"0,02","3,00E+03","60Co, 109Cd, 137Cs, 241Am"
VELIZY-VILLACOUBLAY,Yvelines,THALES AVS FRANCE - SITE DE VELIZY,,"SC (0,00138 m3)",TFA(SC-SNC),"0,0008832","3,30E+05",137Cs
VELIZY-VILLACOUBLAY,Yvelines,THALES AVS FRANCE - SITE DE VELIZY,,"SC (0,222 m3)",TFA(SC-SNC),"0,14208","1,54E+08",63Ni
VELIZY-VILLACOUBLAY,Yvelines,THALES AVS FRANCE - SITE DE VELIZY,,"SC (0,077 m3)",TFA(SC-SNC),"0,04928","1,09E+08",226Ra
VELIZY-VILLACOUBLAY,Yvelines,THALES AVS FRANCE - SITE DE VELIZY,,"SC (0,026 m3)",TFA(SC-SNC),"0,01664","2,14E+06",60Co
FLEURY-LES-AUBRAIS,Loiret,THALES LAS - CUSTOMER SERVICE (FLEURY-LES-AUBRAIS),,TFA-09 (1 m3),TFA-09,1,"4,00E+00",3H
FLEURY-LES-AUBRAIS,Loiret,THALES LAS - CUSTOMER SERVICE (FLEURY-LES-AUBRAIS),,"SC (0,12 m3)",TFA(SC-SNC),"0,0768","2,00E+01",3H
FLEURY-LES-AUBRAIS,Loiret,THALES LAS - CUSTOMER SERVICE (FLEURY-LES-AUBRAIS),,TFA-09 (3 m3),TFA-09,3,"4,00E+00",
ELANCOURT,Yvelines,THALES LAS - ELANCOURT SITE,,"SC (0,35 m3)",TFA(SC-SNC),"0,224","4,00E-01",232Th
LACQ,Pyrénées-Atlantiques,TOTAL PRODUCTION - LACQ,,"TFA-09 (3,5 m3)",TFA-09,"3,5","0,00E+00","226Ra, 232Th"
LACQ,Pyrénées-Atlantiques,TOTAL PRODUCTION - LACQ,,TFA-09 (1 m3),TFA-09,1,"0,00E+00","226Ra, 232Th"
NICE,Alpes-Maritimes,ANTOINE LACASSAGNE CENTER - RADIOTHERAPY DEPARTMENT,,"TFA-06 (0,25 m3)",TFA-06,"0,25","0,00E+00",
LE HAVRE,Seine-Maritime,WILLIAM THE CONQUERANT CENTER - BRACHYTHERAPY,,"TFA-07 (0,05 m3)",TFA-07,"0,05","0,00E+00",
ROUEN,Seine-Maritime,CENTER HENRI -BECQUEREL - RADIOTHERAPY,,"TFA-07 (1,7 m3)",TFA-07,"1,7","0,00E+00","54Mn, 60Co, 57Co, 181W"
CARCASSONNE,Aude,Carcassonne Hospital Center - NUCLEAR MEDICINE,,TFA-07 (1 m3),TFA-07,1,"0,00E+00","54Mn, 60Co, 181W"
EPINAL,Vosges,EMILE DURKHEIM HOSPITAL CENTER - CARE SERVICES,,"TFA-07 (0,3 m3)",TFA-07,"0,3","0,00E+00",
RODEZ,Aveyron,JACQUES PUEL HOSPITAL CENTER - NUCLEAR MEDICINE DEPARTMENT,,TFA-07 (1 m3),TFA-07,1,"0,00E+00",
CHAMBERY,Savoie,METROPOLE SAVOIE HOSPITAL CENTER - NUCLEAR MEDICINE - RADIOTHERAPY,,"TFA-07 (0,5 m3)",TFA-07,"0,5","0,00E+00",
MONACO,Monaco?,PRINCESS GRACE HOSPITAL CENTER - NUCLEAR MEDICINE,,TFA-07 (1 m3),TFA-07,1,"5,00E+07","54Mn, 60Co, 57Co, 181W"
SAINT-ETIENNE,Loire,PRIVATE HOSPITAL CENTER OF THE LOIRE - NUCLEAR IMAGING CENTER (CIN) - SCINTIGRAPHY - THERAPEUTIC,,"SNC (0,0004 m3)",TFA(SC-SNC),"0,0004","1,00E+04",153Sm
PARIS 14,Paris,SAINTE-ANNE HOSPITAL CENTER - BIOLOGY LABORATORY - RADIOIMMUNOLOGY,,"SC (0,0005 m3)",TFA(SC-SNC),"0,00032","0,00E+00","137Cs, 152Eu, 210Pb, 226Ra, 241Am"
ALBI,Tarn,CENTRE MEDICO-CHIRURGICAL CLAUDE BERNARD - SERVICE RADIOTHERAPIE - CURIETHERAPIE,,"TFA-07 (1,8 m3)",TFA-07,"1,8","0,00E+00",
LIMOGES,Haute-Vienne,CHU - DUPUYTREN HOSPITAL - NUCLEAR MEDICINE,,"TFA-07 (0,5 m3)",TFA-07,"0,5","0,00E+00",
PARIS 10,Paris,CHU - SAINT-LOUIS HOSPITAL (AP-HP) - WASTE HOLDER,,"SNC (0,03 m3)",TFA(SC-SNC),"0,03","1,60E+06",3H
TALENCE,Gironde,BORDEAUX CHU - HAUT LEVEQUE HOSPITAL - NUCLEAR MEDICINE - SCINTIGRAPHY - RADIOTHERAPY,,TFA-07 (1 m3),TFA-07,1,"0,00E+00",
TALENCE,Gironde,BORDEAUX CHU - SAINT-ANDRE HOSPITAL - RADIOTHERAPY,,TFA-07 (2 m3),TFA-07,2,"0,00E+00",
SAINT-PIERRE,La Réunion,REUNION CHU - SOUTH SITE GHSR - RADIOTHERAPY,,"TFA-07 (0,5 m3)",TFA-07,"0,5","0,00E+00","54Mn, 57Co, 58Co, 124Sb, 198Au, 181W"
FORT-DE-FRANCE,Martinique,CHU DE MARTINIQUE - HOPITAL CLARAC - RADIOTHERAPY,,TFA-07 (1 m3),TFA-07,1,"0,00E+00",
PARIS 20,Paris,CHU- TENON HOSPITAL (AP-HP) - FUNCTIONAL EXPLORATIONS,,"SC (0,033 m3)",TFA(SC-SNC),"0,02112","4,68E+06","3H, 14C"
PARIS 20,Paris,CHU- TENON HOSPITAL (AP-HP) - FUNCTIONAL EXPLORATIONS,,"SNC (0,004 m3)",TFA(SC-SNC),"0,004","2,73E+06","3H, 14C"
PARIS 20,Paris,CHU- TENON HOSPITAL (AP-HP) - NUCLEAR MEDICINE,,"SNC (0,0015 m3)",TFA(SC-SNC),"0,0015","3,00E+04",68Ge
BESANCON,Doubs,CHU JEAN MINJOZ - NUCLEAR MEDICINE,,"SNC (0,48 m3)",TFA(SC-SNC),"0,48","2,00E+06",3H
BESANCON,Doubs,CHU JEAN MINJOZ - NUCLEAR MEDICINE,,"SC (0,6 m3)",TFA(SC-SNC),"0,384","2,00E+06",3H
IVRY-SUR-SEINE,Val-de-Marne,EUROFINS BIOMNIS - RIA,,"SC (1,1 m3)",TFA(SC-SNC),"0,704","1,50E+06",3H
TARBES,Hautes-Pyrénées,GROP - RADIOTHERAPY-CURIE THERAPY,,"TFA-07 (0,05 m3)",TFA-07,"0,05","0,00E+00",
TARBES,Hautes-Pyrénées,GROP - RADIOTHERAPY-CURIE THERAPY,,"TFA-07 (0,05 m3)",TFA-07,"0,05","0,00E+00",
TARBES,Hautes-Pyrénées,GROP - RADIOTHERAPY-CURIE THERAPY,,"TFA-07 (0,05 m3)",TFA-07,"0,05","0,00E+00",
PAU,Pyrénées-Atlantiques,PYRENEES RADIOTHERAPY AND ONCOLOGY GROUP - PAU RADIOTHERAPY CENTER,,"TFA-07 (0,05 m3)",TFA-07,"0,05","1,20E+05","54Mn, 60Co, 57Co"
PAU,Pyrénées-Atlantiques,PYRENEES RADIOTHERAPY AND ONCOLOGY GROUP - PAU RADIOTHERAPY CENTER,,"TFA-06 (0,05 m3)",TFA-06,"0,05","0,00E+00","54Mn, 60Co, 57Co, 181W"
MULHOUSE,Haut-Rhin,HOSPITAL GROUP IN THE REGION OF MULHOUSE AND SOUTH-ALSACE - NUCLEAR MEDICINE,,"TFA-07 (0,5 m3)",TFA-07,"0,5","0,00E+00","54Mn, 60Co, 58Co, 198Au, 182Ta, 181W"
MONTFERMEIL,Seine-Saint-Denis,INTERCOMMUNAL HOSPITAL GROUP LE RAINCY - MONTFERMEIL - NUCLEAR MEDICINE - SCINTIGRAPHY - RADIOTHERAPY,,TFA-07 (4 m3),TFA-07,4,"0,00E+00",
BRON,Rhône,EAST HOSPITAL GROUP - NUCLEAR MEDICINE CENTER,,"SNC (0,00001 m3)",TFA(SC-SNC),"0,00001","7,00E+04","152Eu, 154Eu"
BRON,Rhône,EASTERN HOSPITAL GROUP - HORMONOLOGY DEPARTMENT,,"SC (0,48 m3)",TFA(SC-SNC),"0,3072","7,70E+06",3H
BRON,Rhône,EAST HOSPITAL GROUP - HORMONOLOGY DEPARTMENT,,"SNC (0,36 m3)",TFA(SC-SNC),"0,36","7,10E+06",3H
SAINT-CLOUD,Hauts-de-Seine,RENE HUGUENIN HOSPITAL - CURIE INSTITUTE - NUCLEAR MEDICINE,,"TFA-07 (2,5 m3)",TFA-07,"2,5","0,00E+00",
SAINT-CLOUD,Hauts-de-Seine,RENE HUGUENIN HOSPITAL - CURIE INSTITUTE - NUCLEAR MEDICINE,,"SC (0,12 m3)",TFA(SC-SNC),"0,0768","1,03E+05",68Ge
COLMAR,Haut-Rhin,CIVIL HOSPITALS OF COLMAR - LOUIS PASTEUR HOSPITAL - RADIOTHERAPY,,"TFA-07 (0,199 m3)",TFA-07,"0,199","0,00E+00",
REIMS,Marne,ICCREIMS POLYCLINIC OF COURLANCY - BRACHYTHERAPY,,"TFA-07 (0,5 m3)",TFA-07,"0,5","0,00E+00",
BORDEAUX,Gironde,BERGONIE INSTITUTE - REGIONAL CENTER FOR THE FIGHT AGAINST CANCER - RADIOTHERAPY - CURIETHEPARY - NUCLEAR MEDICINE,,"TFA-07 (0,6 m3)",TFA-07,"0,6","0,00E+00","54Mn, 60Co, 57Co"
SAINT-HERBLAIN,Loire-Atlantique,WEST INSTITUTE OF CANCEROLOGY - NANTES SITE,,"TFA-07 (0,03 m3)",TFA-07,"0,03","0,00E+00",
BORDEAUX,Gironde,BORDEAUX NORD AQUITAINE POLYCLINIC - SELARL GOR - RADIOTHERAPY,,TFA-07 (1 m3),TFA-07,1,"0,00E+00",
BORDEAUX,Gironde,BORDEAUX NORD AQUITAINE POLYCLINIC - SELARL GOR - RADIOTHERAPY,,"TFA-07 (0,05 m3)",TFA-07,"0,05","0,00E+00",
MACON,Saône-et-Loire,MACON RADIOTHERAPY ONCOLOGY SOCIETY (SCM SORAM) - VAL DE SAONE POLYCLINIC - JB DENIS CLINIC - CURIETHERAPIE,,"TFA-07 (0,5 m3)",TFA-07,"0,5","0,00E+00","54Mn, 57Co, 181W"
FOUGERES,Ille-et-Vilaine,HANDLES - FOUGERES LABORATORY,,"SNC (0,2 m3)",TFA(SC-SNC),"0,2","1,00E+04",3H
FOUGERES,Ille-et-Vilaine,HANDLES - FOUGERES LABORATORY,,"SC (0,2 m3)",TFA(SC-SNC),"0,128","1,00E+04",3H
GENCAY,Vienne,BIOALTERNATIVES SA - BIOLOGY MOLECULAR AND CELLULAR,,"SNC (0,03 m3)",TFA(SC-SNC),"0,03","2,50E+07",14C
SAINT-GREGOIRE,Ille-et-Vilaine,BIOPROJECT - BIOTECH - RESEARCH CENTER / BIOCHEMISTRY,,"SNC (0,1 m3)",TFA(SC-SNC),"0,1","2,50E+06","3H, 35S"
ORLEANS,Loiret,GEOLOGICAL AND MINING RESEARCH BUREAU (BRGM) - DIFFUSION STUDY - TRACING AND DATING,,"SC (0,04 m3)",TFA(SC-SNC),"0,0256","1,71E+07",14C
ORLEANS,Loiret,GEOLOGICAL AND MINING RESEARCH BUREAU (BRGM) - DIFFUSION STUDY - TRACING AND DATING,,"SC (0,12 m3)",TFA(SC-SNC),"0,0768","2,00E+03","3H, 14C"
ORLEANS,Loiret,GEOLOGICAL AND MINING RESEARCH BUREAU (BRGM) - DIFFUSION STUDY - TRACING AND DATING,,"SNC (0,04 m3)",TFA(SC-SNC),"0,04","9,30E+06","228Ra, 230Th, 232Th, 235U, 238U"
BRON,Rhône,CERMEP - CYCLOTRON BIOMEDICAL - RADIOCHEMISTRY - LIVE IMAGING,,TFA-06 (5 m3),TFA-06,5,"2,00E+08",
VILLENEUVE-D'ASCQ,Nord,CENTRALE LILLE INSTITUT ENSCL - UCCS - UMR CNRS 8181-SOLID CHEMISTRY AXIS,,"SNC (0,05 m3)",TFA(SC-SNC),"0,05","5,00E+05",U
PARIS 12,Paris,SAINT-ANTOINE RESEARCH CENTER - UMRS 938,,"SC (0,12 m3)",TFA(SC-SNC),"0,0768",5.40E+07,3H
MONACO,Monaco?,MONACO SCIENTIFIC CENTER - MARINE BIOLOGY UNIT,,"SC (0,1 m3)",TFA(SC-SNC),"0,064","4,00E+06",14C
MISEREY,Eure,CHARLES RIVER LABORATORIES EVREUX - MISEREY SITE,,"SC (0,24 m3)",TFA(SC-SNC),"0,1536","4,00E+06",14C
MISEREY,Eure,CHARLES RIVER LABORATORIES EVREUX - MISEREY SITE,,"SNC (0,36 m3)",TFA(SC-SNC),"0,36","3,83E+07",14C
PARIS 18,Paris,CHU - BICHAT HOSPITAL GROUP - CLAUDE BERNARD - PARASITOLOGY DEPARTMENT,,"SC (0,24 m3)",TFA(SC-SNC),"0,1536","8,00E+06",3H
GIF-SUR-YVETTE,Essonne,CNRS - GIF-SUR-YVETTE CAMPUS - CEA/CNRS/UVSQ - UMR 8212 - CLIMATE AND ENVIRONMENTAL SCIENCES LABORATORY (LSCE),,"SC (0,01 m3)",TFA(SC-SNC),"0,0064","0,00E+00",14C
VILLIERS-EN-BOIS,Deux-Sèvres,CNRS - CENTER D&#39;ETUDES BIOLOGIQUES DE CHIZE (CEBC) - CNRS - CEBC UMR7372,,"SNC (0,24 m3)",TFA(SC-SNC),"0,24","1,50E+06",3H
ORLEANS,Loiret,CNRS - ORLEANS - CNRS - CEMHTI - UPR 3079 EXTREME CONDITIONS AND MATERIALS: HIGH TEMPERATURE AND IRRADIATION,,"SC (0,36 m3)",TFA(SC-SNC),"0,2304","9,00E+04","22Na, 54Mn, 60Co, 57Co, 65Zn, 108mAg"
ORLEANS,Loiret,CNRS - ORLEANS - CNRS - CEMHTI - UPR 3079 EXTREME CONDITIONS AND MATERIALS: HIGH TEMPERATURE AND IRRADIATION,,"SNC (0,6 m3)",TFA(SC-SNC),"0,6","7,50E+05","54Mn, 60Co, 57Co, 65Zn, 152Eu"
ORLEANS,Loiret,CNRS - ORLEANS - CNRS - CEMHTI - UPR 3079 EXTREME CONDITIONS AND MATERIALS: HIGH TEMPERATURE AND IRRADIATION,,"TFA-06 (2,5 m3)",TFA-06,"2,5","1,00E+07","22Na, 60Co, 125Sb, 137Cs, 210Pb, 228Th"
ORLEANS,Loiret,CNRS - ORLEANS - IRAMAT (ARCHEOMATERIALS RESEARCH CENTER),,"SC (0,001 m3)",TFA(SC-SNC),"0,00064","1,00E+04",60Co
VILLERS-LES-NANCY,Meurthe-et-Moselle,CNRS - University of Lorraine - UMR 7564 LABORATORY OF PHYSICAL CHEMISTRY AND MICROBIOLOGY FOR THE ENVIRONMENT,,"SNC (0,00064 m3)",TFA(SC-SNC),"0,00064","1,20E+07",U
VILLERS-LES-NANCY,Meurthe-et-Moselle,CNRS - University of Lorraine - UMR 7564 LABORATORY OF PHYSICAL CHEMISTRY AND MICROBIOLOGY FOR THE ENVIRONMENT,,"SNC (0,0001 m3)",TFA(SC-SNC),"0,0001","2,00E+06",Th
NICE,Alpes-Maritimes,CNRS - UNIVERSITE DE NICE SOPHIA-ANTIPOLIS (UNSA) - CNRS - UMR 7329 GEOSCIENCES AZUR,,"SNC (0,008 m3)",TFA(SC-SNC),"0,008","1,90E+07","54Mn, 55Fe, 60Co, 51Cr, 59Fe"
NICE,Alpes-Maritimes,CNRS - UNIVERSITE DE NICE SOPHIA-ANTIPOLIS (UNSA) - CNRS - UMR 7329 GEOSCIENCES AZUR,,"SNC (0,008 m3)",TFA(SC-SNC),"0,008","1,90E+07","54Mn, 55Fe, 60Co, 51Cr, 59Fe"
SAINT-DENIS,Aude,EDF - INDUSTRIAL DEPARTMENT - LBM,,"SNC (0,56 m3)",TFA(SC-SNC),"0,56","2,09E+05","60Co, 110mAg, 137Cs, 242Pu, 243Am, 58Co"
VERGEZE,Gard,EUROFINS - ADME BIOANALYSES - PHARMACEUTICAL RESEARCH,,"SNC (0,4 m3)",TFA(SC-SNC),"0,4","2,59E+08","3H, 14C"
VERGEZE,Gard,EUROFINS - ADME BIOANALYSES - PHARMACEUTICAL RESEARCH,,"SC (1,12 m3)",TFA(SC-SNC),"0,7168","8,03E+06","3H, 14C"
SAINT-GREGOIRE,Ille-et-Vilaine,EUROSAFE - ETUDE DE METABOLISM,,"SNC (0,12 m3)",TFA(SC-SNC),"0,12","6,01E+07","3H, 14C"
LILLE,Nord,"FACULTY OF MEDICINE - RESEARCH POLE - UMR1011 - NUCLEAR RECEPTORS, CARDIOVASCULAR DISEASES AND DIABETES",,"SNC (0,04 m3)",TFA(SC-SNC),"0,04","8,00E+04",14C
CRETEIL,Val-de-Marne,FACULTY OF MEDICINE OF CRETEIL - HENRY MONDOR CHU - INSERM - U 955 (EX 841) MONDOR INSTITUTE FOR BIOMEDICAL RESEARCH (IMRB),,"SC (0,12 m3)",TFA(SC-SNC),"0,0768","7,00E+05","3H, 14C"
CRETEIL,Val-de-Marne,FACULTY OF MEDICINE OF CRETEIL - HENRY MONDOR CHU - INSERM - U 955 (EX 841) MONDOR INSTITUTE FOR BIOMEDICAL RESEARCH (IMRB),,"SNC (0,6 m3)",TFA(SC-SNC),"0,6","3,50E+06","3H, 14C"
CHATENAY-MALABRY,Hauts-de-Seine,CHATENAY-MALABRY FACULTY OF PHARMACY - HEALTH AND SAFETY DEPARTMENT,,"SNC (0,04 m3)",TFA(SC-SNC),"0,04","2,70E+05","3H, 14C"
CHATENAY-MALABRY,Hauts-de-Seine,CHATENAY-MALABRY FACULTY OF PHARMACY - LIP(SYS)2 UNIT,,"SC (0,088 m3)",TFA(SC-SNC),"0,05632","1,20E+07",3H
CRETEIL,Val-de-Marne,"FACULTY OF SCIENCE AND TECHNOLOGY - UNIV. PARIS XII - CMC - CELLULAR GROWTH, TISSUE REPAIR AND REGENERATION LABORATORY (INSERM UMR 7149)",,"SNC (0,04 m3)",TFA(SC-SNC),"0,04",8.80E+05,"3H, 14C"
