City,County,Site,Waste_Type,Description,Label,Volume_in_mt,BQ,Radionuclides
CROZON,Finistère,NATIONAL NAVY - LONG ISLAND BASE,Déchets de procédé,Primary circuit resins (0.1 m3 - 1 drum of resins),F3-7-01,"0,1",Data updated with each new edition of the National Inventory,60Co
CROZON,Finistère,NATIONAL NAVY - LONG ISLAND BASE,MCR hors PN,Technological waste contaminated with tritium (radioluminescent plates) (0.5 m3),DIV4-11,"0,5",Data updated with each new edition of the National Inventory,3H
CROZON,Finistère,NATIONAL NAVY - LONG ISLAND BASE,Déchets divers,Hazardous chemical waste (1 m3),F3-7-01,1,Data updated with each new edition of the National Inventory,60Co
CROZON,Finistère,NATIONAL NAVY - LONG ISLAND BASE,Déchets de procédé,ventilation filters (1.7 m3),F3-2-10,"1,7",Data updated with each new edition of the National Inventory,
QUEVEN,Morbihan,MARINE NATIONALE - CELAE DET LANN-BIHOUE,Matériels de manipulation et EPI,Waste (0.006 m3 - 1 Lot),F3-7-01,0,Data updated with each new edition of the National Inventory,
LIMEIL-BREVANNES,Val-de-Marne,SOUTHERN - LIMEIL-BREVANNES,Déchets Solides,Waste cloth gloves contaminated with tritium (0.2 m3 - 1 drum of 200L),F3-7-01,"0,0158",Data updated with each new edition of the National Inventory,3H
LIMEIL-BREVANNES,Val-de-Marne,SOUTHERN - LIMEIL-BREVANNES,Déchets Solides,"Activated metal scrap (54Mn, 57Co, 60Co) unite",F3-01h,0,Data updated with each new edition of the National Inventory,"54Mn, 60Co, 57Co"
LIMEIL-BREVANNES,Val-de-Marne,SOUTHERN - LIMEIL-BREVANNES,Déchets Solides,Waste containing tritium (3 drums of 200 L),DIV4-11,"0,6",Data updated with each new edition of the National Inventory,3H
LIMEIL-BREVANNES,Val-de-Marne,SOUTHERN - LIMEIL-BREVANNES,Déchets  Liquides,Tritiated water (0.06 m3 - 0.062 t - 2 bung barrel),F3-7-01,0,Data updated with each new edition of the National Inventory,3H
LIMEIL-BREVANNES,Val-de-Marne,SOUTHERN - LIMEIL-BREVANNES,Déchets  Liquides,Tritiated oil (0.06 t - 2 B3 drums),F3-7-01,0,Data updated with each new edition of the National Inventory,3H
LIMEIL-BREVANNES,Val-de-Marne,SOUTHERN - LIMEIL-BREVANNES,Flacons de scintillation en polyéthylène,Vials of bubbler water + scintillating liquid (0.12 m3),F3-7-01,"0,00708",Data updated with each new edition of the National Inventory,3H
LIMEIL-BREVANNES,Val-de-Marne,SOUTHERN - LIMEIL-BREVANNES,Flacons de scintillation en polyéthylène,Liquid scintillating vials (0.12 m3),F3-7-01,"0,00708",Data updated with each new edition of the National Inventory,
CLAMART,Hauts-de-Seine,SSA - SPRA,Déchets liquides,"Vials, ampoules and tubes (0.000015 m3 unit)",F3-7-01,0,Data updated with each new edition of the National Inventory,
CLAMART,Hauts-de-Seine,SSA - SPRA,Déchets divers/poudres,Miscellaneous (0.00005 m3 unit),F3-7-01,"0,00000395",Data updated with each new edition of the National Inventory,
CLAMART,Hauts-de-Seine,SSA - SPRA,Fioles à scintillation (SL),Plastic scintillation vials with beta scintillating liquid (0.12 m3 unit),F3-7-01,"0,00708",Data updated with each new edition of the National Inventory,"3H, 14C, 63Ni"
CLAMART,Hauts-de-Seine,SSA - SPRA,Fioles à scintillation ,Plastic scintillation vials with beta-gamma scintillating liquid (0.00004 m3 unit),F3-7-01,"0,00000236",Data updated with each new edition of the National Inventory,137Cs
CLAMART,Hauts-de-Seine,SSA - SPRA,Fioles à scintillation,Plastic scintillation vials with alpha scintillant liquid (0.00018 m3 unit),F3-7-01,"0,00001062",Data updated with each new edition of the National Inventory,"208Po, 226Ra, 239Pu, 241Am"
CLAMART,Hauts-de-Seine,SSA - SPRA,Déchets solides divers,Alpha wax pellets (0.000005 m3 unit),F3-7-01,"0,000000395",Data updated with each new edition of the National Inventory,"239Pu, 241Am"
CLAMART,Hauts-de-Seine,SSA - SPRA,Déchets liquides,Andra carboy 30 L (0.03 m3),F3-7-01,0,Data updated with each new edition of the National Inventory,"3H, 40K, 226Ra, U, Th, 210Po"
CLAMART,Hauts-de-Seine,SSA - SPRA,Déchet liquide,"1 bidon LA of 30L (0,03 m3 )",F3-7-01,0,Data updated with each new edition of the National Inventory,"60Co, 137Cs, 133Ba"
AMBERIEU-EN-BUGEY,Ain,ARMEE DE L&#39;AIR - BA 278 AMBERIEU,"Cadrans, indicateurs",Anemometer (0.01 m3 - 0.0003 t - 1 unit),S02,0,Data updated with each new edition of the National Inventory,226Ra
AMBERIEU-EN-BUGEY,Ain,ARMEE DE L&#39;AIR - BA 278 AMBERIEU,"Cadrans, indicateurs",Altimeter (0.01 m3 - 0.0003 t - 1 unit),S02,0,Data updated with each new edition of the National Inventory,226Ra
AMBERIEU-EN-BUGEY,Ain,ARMEE DE L&#39;AIR - BA 278 AMBERIEU,Tubes électroniques,"Tube F 3003 (0,04 m3 - 0,003 t - 6 unite)",S01,0,Data updated with each new edition of the National Inventory,
AMBERIEU-EN-BUGEY,Ain,ARMEE DE L&#39;AIR - BA 278 AMBERIEU,Tubes électroniques,"Tube F 3004A (0,04 m3 - 0,0025 t - 5 unite)",S01,0,Data updated with each new edition of the National Inventory,63Ni
AMBERIEU-EN-BUGEY,Ain,ARMEE DE L&#39;AIR - BA 278 AMBERIEU,Tubes électroniques,Tube 6334 THOMSON (0.01 m3 - 0.00225 t - 11 units),S01,0,Data updated with each new edition of the National Inventory,63Ni
AMBERIEU-EN-BUGEY,Ain,ARMEE DE L&#39;AIR - BA 278 AMBERIEU,Tubes électroniques,"Tube 6334 PENTA Laboratories (0,01 m3 - 0,003 t - 19 unite)",S01,0,Data updated with each new edition of the National Inventory,60Co
AMBERIEU-EN-BUGEY,Ain,ARMEE DE L&#39;AIR - BA 278 AMBERIEU,Tubes électroniques,"Tube 6334 Microwave Associates (0,01 m3 - 0,00025 t - 1 unite)",S01,0,Data updated with each new edition of the National Inventory,60Co
AMBERIEU-EN-BUGEY,Ain,ARMEE DE L&#39;AIR - BA 278 AMBERIEU,Tubes électroniques,"Tube OA2 WA THOMSON (0,01 m3 - 0,00007 t - 11 units)",S01,0,Data updated with each new edition of the National Inventory,63Ni
AMBERIEU-EN-BUGEY,Ain,ARMEE DE L&#39;AIR - BA 278 AMBERIEU,Tubes électroniques,"Tube OA2 WA RTC (0,01 m3 - 0,000005 t - 1 unit)",S01,0,Data updated with each new edition of the National Inventory,63Ni
AMBERIEU-EN-BUGEY,Ain,ARMEE DE L&#39;AIR - BA 278 AMBERIEU,Tubes électroniques,"Tube OB2 WA RCA (0,01 m3 - 0,00022 t - 48 unite)",S01,0,Data updated with each new edition of the National Inventory,63Ni
AMBERIEU-EN-BUGEY,Ain,ARMEE DE L&#39;AIR - BA 278 AMBERIEU,Tubes électroniques,"Tube OB2 WA THOMSON (0,01 m3 - 0,00047 t - 93 unite)",S01,0,Data updated with each new edition of the National Inventory,63Ni
AMBERIEU-EN-BUGEY,Ain,ARMEE DE L&#39;AIR - BA 278 AMBERIEU,Tubes électroniques,"Tube OB2 WA RTC (0,01 m3 - 0,00003 t - 6 unite)",S01,0,Data updated with each new edition of the National Inventory,63Ni
AMBERIEU-EN-BUGEY,Ain,ARMEE DE L&#39;AIR - BA 278 AMBERIEU,Tubes électroniques,"Tubes OB2 WA (0,01 m3 - 0,00004 t - 6 unite)",S01,0,Data updated with each new edition of the National Inventory,63Ni
AMBERIEU-EN-BUGEY,Ain,ARMEE DE L&#39;AIR - BA 278 AMBERIEU,Tubes électroniques,"Tube F 3027 A THOMSON (0,01 m3 - 0,00025 t - 1 unite)",S01,0,Data updated with each new edition of the National Inventory,63Ni
AMBERIEU-EN-BUGEY,Ain,ARMEE DE L&#39;AIR - BA 278 AMBERIEU,Tubes électroniques,"Tube F OA2WA OREGA CIFTE (0,01 m3 - 0,000005 t - 1 unite)",S01,0,Data updated with each new edition of the National Inventory,63Ni
AMBERIEU-EN-BUGEY,Ain,ARMEE DE L&#39;AIR - BA 278 AMBERIEU,Tubes électroniques,Electronic tube OA2WA SYLVANIA (0.01 m3 - 0.000005 t - 1 unit),S01,0,Data updated with each new edition of the National Inventory,63Ni
AMBERIEU-EN-BUGEY,Ain,ARMEE DE L&#39;AIR - BA 278 AMBERIEU,Tubes électroniques,Electronic tube OA2 WA MAZDA (0.01 m3 - 0.000015 t - 3 units),S01,0,Data updated with each new edition of the National Inventory,63Ni
AMBERIEU-EN-BUGEY,Ain,ARMEE DE L&#39;AIR - BA 278 AMBERIEU,Tubes électroniques,Radar electron tube OA2 WA CSF (0.01 m3 - 0.000005 t - 1 unit),S01,0,Data updated with each new edition of the National Inventory,63Ni
AMBERIEU-EN-BUGEY,Ain,ARMEE DE L&#39;AIR - BA 278 AMBERIEU,Tubes électroniques,Radar electron tube OB2 WA CSF (0.01 m3 - 0.00002 t - 4 units),S01,0,Data updated with each new edition of the National Inventory,63Ni
AMBERIEU-EN-BUGEY,Ain,ARMEE DE L&#39;AIR - BA 278 AMBERIEU,Tubes électroniques,Tube OB2 WA USN for radar (0.01 m3 - 0.000005 t - 1 unit),S01,0,Data updated with each new edition of the National Inventory,63Ni
AMBERIEU-EN-BUGEY,Ain,ARMEE DE L&#39;AIR - BA 278 AMBERIEU,Tubes électroniques,Tube OB2 WA MAZDA for radar (0.01 m3 - 0.000005 t - 1 unit),S01,0,Data updated with each new edition of the National Inventory,63Ni
AMBERIEU-EN-BUGEY,Ain,ARMEE DE L&#39;AIR - BA 278 AMBERIEU,Tubes électroniques,Tube OB2 WA SYLVANIA for radar (0.01 m3 - 0.00001 t - 1 unit),S01,0,Data updated with each new edition of the National Inventory,63Ni
AMBERIEU-EN-BUGEY,Ain,ARMEE DE L&#39;AIR - BA 278 AMBERIEU,Tubes électroniques,Tube OB2 WA RT for radar (0.01 m3 - 0.000005 t - 1 unit),S01,0,Data updated with each new edition of the National Inventory,63Ni
AMBERIEU-EN-BUGEY,Ain,ARMEE DE L&#39;AIR - BA 278 AMBERIEU,Tubes électroniques,Tube OA2 WA RCA for radar (0.01 m3 - 0.000005 t - 1 unit),S01,0,Data updated with each new edition of the National Inventory,63Ni
AMBERIEU-EN-BUGEY,Ain,ARMEE DE L&#39;AIR - BA 278 AMBERIEU,Tubes électroniques,Radar electron tube OA2 WAUnidentified manufacturers (0.01 m3 - 0.00001 t - 2 unit),S01,0,Data updated with each new edition of the National Inventory,
AMBERIEU-EN-BUGEY,Ain,ARMEE DE L&#39;AIR - BA 278 AMBERIEU,"Cadrans, indicateurs",clock dial 1 (0.01 m3 - 0.0003 t - 1 unit),S02,0,Data updated with each new edition of the National Inventory,226Ra
AMBERIEU-EN-BUGEY,Ain,ARMEE DE L&#39;AIR - BA 278 AMBERIEU,"Cadrans, indicateurs",Bezel/glass dial chronograph clock n°2 (0.01 m3 - 0.0003 t - 1 unit),S02,0,Data updated with each new edition of the National Inventory,226Ra
AMBERIEU-EN-BUGEY,Ain,ARMEE DE L&#39;AIR - BA 278 AMBERIEU,"Cadrans, indicateurs",Set of chronograph clock dial hands (0.01 m3 - 0.0003 t - 1 unit),S02,0,Data updated with each new edition of the National Inventory,226Ra
AMBERIEU-EN-BUGEY,Ain,ARMEE DE L&#39;AIR - BA 278 AMBERIEU,Tubes électroniques Eclateur pour radar,Electron tube with H3 radioelement. Installed in radar. Can come in a kit (0.01 m3 - 0.00001 t - 2 units),S01,0,Data updated with each new edition of the National Inventory,
SAINT-VULBAS,Ain,EDF - BUGEY - BUTTE,"Résines issues des purges du circuit secondaire au niveau des générateurs de vapeur mélangées à des remblais naturels (terre), des gravats et des déchets conventionnels",Very low specific activity ion exchange resins (130 m3),DSH,0,Data updated with each new edition of the National Inventory,"63Ni, 137Cs"
SAINT-VULBAS,Ain,EDF - BUGEY B - CNPE,Déchets de Moyenne Activité à Vie Longue entreposés en piscine,Source clusters (8 units),S01,0,Data updated with each new edition of the National Inventory,"55Fe, 60Co, 63Ni"
SAINT-VULBAS,Ain,EDF - BUGEY A - EN DECONSTRUCTION,Déchets de Moyenne Activité ou Faible Activité à Vie Courte (FMA-VC),Asbestos (13.668 t),TFA-02,"136,68",Data updated with each new edition of the National Inventory,"3H, 55Fe, 60Co, 90Sr, 241Am"
SAINT-VULBAS,Ain,EDF - BUGEY A - EN DECONSTRUCTION,Déchets de Moyenne Activité ou Faible Activité à Vie Courte (FMA-VC),Electrical and electronic waste (0.44 t),TFA-02,"0,44",Data updated with each new edition of the National Inventory,"3H, 55Fe, 60Co, 90Sr, 241Am"
SAINT-VULBAS,Ain,EDF - BUGEY A - EN DECONSTRUCTION,Déchets de Moyenne Activité ou Faible Activité à Vie Courte (FMA-VC),Engraved (0.647 t),TFA-02,"0,47878",Data updated with each new edition of the National Inventory,"3H, 55Fe, 60Co, 90Sr, 241Am"
SAINT-VULBAS,Ain,EDF - BUGEY A - EN DECONSTRUCTION,Déchets de Moyenne Activité ou Faible Activité à Vie Courte (FMA-VC),Ferrous metals (1.402 t),TFA-02,"1,4721",Data updated with each new edition of the National Inventory,"3H, 55Fe, 60Co, 90Sr, 241Am"
SAINT-VULBAS,Ain,EDF - BUGEY A - EN DECONSTRUCTION,Déchets de Moyenne Activité ou Faible Activité à Vie Courte (FMA-VC),Non-ferrous metals (7.60855 t),TFA-02,"12,2497655",Data updated with each new edition of the National Inventory,"3H, 55Fe, 60Co, 90Sr, 241Am"
SAINT-VULBAS,Ain,EDF - BUGEY A - EN DECONSTRUCTION,Déchets de Moyenne Activité ou Faible Activité à Vie Courte (FMA-VC),"Tubes fluorescents (0,12 t )",TFA-02,"0,1716",Data updated with each new edition of the National Inventory,"3H, 55Fe, 60Co, 90Sr, 241Am"
SAINT-VULBAS,Ain,EDF - BUGEY A - EN DECONSTRUCTION,Déchets de Moyenne Activité ou Faible Activité à Vie Courte (FMA-VC),Big-bags (1m3) - Inert waste (3 BB1),TFA-02,3,Data updated with each new edition of the National Inventory,"3H, 55Fe, 60Co, 90Sr, 241Am"
SAINT-VULBAS,Ain,EDF - BUGEY A - EN DECONSTRUCTION,Déchets de Moyenne Activité ou Faible Activité à Vie Courte (FMA-VC),Lockers (1 m3) - Metal waste (1 CA1),TFA-02,"1,35",Data updated with each new edition of the National Inventory,"3H, 55Fe, 60Co, 90Sr, 241Am"
SAINT-VULBAS,Ain,EDF - BUGEY A - EN DECONSTRUCTION,Déchets de Moyenne Activité ou Faible Activité à Vie Courte (FMA-VC),Lockers (2.66 m3) - Metal waste (2 CA2),TFA-02,"5,32",Data updated with each new edition of the National Inventory,"3H, 55Fe, 60Co, 90Sr, 241Am"
SAINT-VULBAS,Ain,EDF - BUGEY A - EN DECONSTRUCTION,Déchets de Moyenne Activité ou Faible Activité à Vie Courte (FMA-VC),Metal drums (200l) - Inert waste (1 F1),TFA-02,"0,205",Data updated with each new edition of the National Inventory,"3H, 55Fe, 60Co, 90Sr, 241Am"
SAINT-VULBAS,Ain,EDF - BUGEY A - EN DECONSTRUCTION,Déchets de Moyenne Activité ou Faible Activité à Vie Courte (FMA-VC),Metal drums (200l) - Non-metal waste (11 F1),TFA-02,"2,255",Data updated with each new edition of the National Inventory,"3H, 55Fe, 60Co, 90Sr, 241Am"
SAINT-VULBAS,Ain,EDF - BUGEY B - CNPE,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte",Ferrous metals (45.419 t),TFA-02,"87,20448",Data updated with each new edition of the National Inventory,"54Mn, 60Co, 65Zn, 110mAg, 137Cs, 58Co"
SAINT-VULBAS,Ain,EDF - BUGEY B - CNPE,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte",Non-ferrous metals (42.947 t),TFA-02,"82,45824",Data updated with each new edition of the National Inventory,"54Mn, 60Co, 65Zn, 110mAg, 137Cs, 58Co"
SAINT-VULBAS,Ain,EDF - BUGEY B - CNPE,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Engraved (11,941 t)",TFA-02,"13,01569",Data updated with each new edition of the National Inventory,"54Mn, 60Co, 65Zn, 110mAg, 137Cs, 58Co"
SAINT-VULBAS,Ain,EDF - BUGEY B - CNPE,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte",Ventilation filters (1.188 t),TFA-02,"1,9008",Data updated with each new edition of the National Inventory,"54Mn, 60Co, 65Zn, 110mAg, 137Cs, 58Co"
SAINT-VULBAS,Ain,EDF - BUGEY B - CNPE,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Iodine traps, activated carbon (29.966 t)",TFA-02,"50,04322",Data updated with each new edition of the National Inventory,"54Mn, 60Co, 65Zn, 110mAg, 137Cs, 58Co"
SAINT-VULBAS,Ain,EDF - BUGEY B - CNPE,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Silica, sand, corundum, shot (9.936 t)",TFA-02,"6,65712",Data updated with each new edition of the National Inventory,"54Mn, 60Co, 65Zn, 110mAg, 137Cs, 58Co"
SAINT-VULBAS,Ain,EDF - BUGEY B - CNPE,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte",APG ion exchange resins (3.142 t),TFA-02,"4,2417",Data updated with each new edition of the National Inventory,"54Mn, 60Co, 65Zn, 110mAg, 137Cs, 58Co"
SAINT-VULBAS,Ain,EDF - BUGEY B - CNPE,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte",Asbestos (17.949 t),TFA-02,"179,49",Data updated with each new edition of the National Inventory,"54Mn, 60Co, 65Zn, 110mAg, 137Cs, 58Co"
SAINT-VULBAS,Ain,EDF - BUGEY B - CNPE,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Piles, batteries (10,23 t )",TFA-02,"20,46",Data updated with each new edition of the National Inventory,"54Mn, 60Co, 65Zn, 110mAg, 137Cs, 58Co"
SAINT-VULBAS,Ain,EDF - BUGEY B - CNPE,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte",Electrical and electronic waste (0.069 t),TFA-02,"0,069",Data updated with each new edition of the National Inventory,"54Mn, 60Co, 65Zn, 110mAg, 137Cs, 58Co"
SAINT-VULBAS,Ain,EDF - BUGEY B - CNPE,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte",Dried sludge (35.168 t),TFA-02,"35,168",Data updated with each new edition of the National Inventory,"54Mn, 60Co, 65Zn, 110mAg, 137Cs, 58Co"
SAINT-VULBAS,Ain,EDF - BUGEY B - CNPE,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Tubes fluorescents (3,65 t )",TFA-02,"5,2195",Data updated with each new edition of the National Inventory,"54Mn, 60Co, 65Zn, 110mAg, 137Cs, 58Co"
SAINT-VULBAS,Ain,EDF - BUGEY B - CNPE,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte",Big-bags de 1 m3 (25 BB1),TFA-02,25,Data updated with each new edition of the National Inventory,"55Fe, 60Co, 137Cs, 134Cs, 58Co"
SAINT-VULBAS,Ain,EDF - BUGEY B - CNPE,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte",Lockers of 2.66 m3 (2 CA2),TFA-02,"5,32",Data updated with each new edition of the National Inventory,"54Mn, 60Co, 65Zn, 110mAg, 137Cs, 58Co"
SAINT-VULBAS,Ain,EDF - BUGEY B - CNPE,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte",200 liter metal drums (2 F1),TFA-02,"0,42",Data updated with each new edition of the National Inventory,"54Mn, 60Co, 65Zn, 110mAg, 137Cs, 58Co"
SAINT-VULBAS,Ain,EDF - BUGEY B - CNPE,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte",Lockers of 2.66 m3 (6 CA2),TFA-02,"15,96",Data updated with each new edition of the National Inventory,"55Fe, 60Co, 63Ni, 110mAg, 58Co"
SAINT-VULBAS,Ain,EDF - BUGEY B - CNPE,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte",Big-bags de 1 m3 (36 BB1),TFA-02,36,Data updated with each new edition of the National Inventory,"55Fe, 60Co, 63Ni, 110mAg, 58Co"
SAINT-VULBAS,Ain,EDF - BUGEY - ICEDA,Déchets Moyenne Activité à Vie Longue (MA-VL),Ferrous metals (6.154 t - 5 R73 baskets),F2-2-03,10,Data updated with each new edition of the National Inventory,"55Fe, 60Co, 63Ni, 108mAg"
SAINT-VULBAS,Ain,EDF - BUGEY - ICEDA,Déchets Moyenne Activité à Vie Longue (MA-VL),Ferrous metals (32 t - 6 C1),F2-2-03,12,Data updated with each new edition of the National Inventory,"55Fe, 60Co, 63Ni, 108mAg"
SAINT-VULBAS,Ain,EDF - BUGEY B - CNPE,Déchets de Moyenne Activité à Vie Longue entreposés en piscine,Clusters (other than sources) (33 units),F2-2-03,"3,366",Data updated with each new edition of the National Inventory,"55Fe, 60Co, 63Ni"
SAINT-VULBAS,Ain,EDF - BUGEY B - CNPE,Déchets de Moyenne Activité à Vie Longue entreposés en piscine,RIC glove fingers (16 cases),F2-2-03,"0,816",Data updated with each new edition of the National Inventory,"55Fe, 60Co, 63Ni"
SAINT-VULBAS,Ain,EDF - BUGEY B - CNPE,Déchets de Moyenne Activité à Vie Longue entreposés en piscine,"Absorbent pencils (AIC, Pyrex, Inox) (77 cases)",F2-2-03,"63,371",Data updated with each new edition of the National Inventory,"55Fe, 60Co, 63Ni"
SAINT-VULBAS,Ain,EDF - BUGEY B - CNPE,Déchets de Moyenne Activité à Vie Longue entreposés en piscine,Cluster heads (all) (29 cases),F2-2-03,"2,755",Data updated with each new edition of the National Inventory,"55Fe, 60Co, 63Ni"
SAINT-VULBAS,Ain,EDF - BUGEY B - CNPE,Déchets de Moyenne Activité à Vie Longue entreposés en piscine,Fuel assembly skeletons (3 cases),F2-2-03,"0,174",Data updated with each new edition of the National Inventory,"55Fe, 60Co, 63Ni"
SAINT-VULBAS,Ain,EDF - BUGEY B - CNPE,Déchets de Moyenne Activité à Vie Longue entreposés en piscine,Miscellaneous metal parts (13 units),F2-2-03,"1,144",Data updated with each new edition of the National Inventory,"55Fe, 60Co, 63Ni"
SAINT-VULBAS,Ain,EDF - BUGEY B - CNPE,Déchets de Moyenne Activité à Vie Longue entreposés en piscine,Cork bunches in cases (41 cases),F2-2-03,"4,264",Data updated with each new edition of the National Inventory,"55Fe, 60Co, 63Ni"
SAINT-VULBAS,Ain,EDF - BUGEY - ICEDA,Déchets FMA-VC et TFA,"Plastics, rubber (0.11 t)",F3-7-01,"0,02926",Data updated with each new edition of the National Inventory,"55Fe, 60Co, 63Ni, 108mAg"
SAINT-VULBAS,Ain,EDF - BUGEY - ICEDA,Déchets FMA-VC et TFA,Ferrous metals (0.088 t),F3-2-15,"0,1804",Data updated with each new edition of the National Inventory,"55Fe, 60Co, 63Ni, 108mAg"
SAINT-VULBAS,Ain,EDF - BUGEY A - EN DECONSTRUCTION,Déchets de Moyenne Activité ou Faible Activité à Vie Courte (FMA-VC),Settling sludge (0.015 t),F3-2-02,"0,13335",Data updated with each new edition of the National Inventory,"3H, 55Fe, 60Co, 90Sr, 241Am"
SAINT-VULBAS,Ain,EDF - BUGEY A - EN DECONSTRUCTION,Déchets de Moyenne Activité ou Faible Activité à Vie Courte (FMA-VC),Settling sludge (0.015 t),F3-2-13,"0,2451",Data updated with each new edition of the National Inventory,"3H, 55Fe, 60Co, 90Sr, 241Am"
SAINT-VULBAS,Ain,EDF - BUGEY A - EN DECONSTRUCTION,Déchets de Moyenne Activité ou Faible Activité à Vie Courte (FMA-VC),Dried sludge (4.532 t),F3-7-01,"1,205512",Data updated with each new edition of the National Inventory,"3H, 55Fe, 60Co, 90Sr, 241Am"
SAINT-VULBAS,Ain,EDF - BUGEY A - EN DECONSTRUCTION,Déchets de Moyenne Activité ou Faible Activité à Vie Courte (FMA-VC),Ventilation filters (0.3816 t),DIV3-02,"0,213696",Data updated with each new edition of the National Inventory,"3H, 55Fe, 60Co, 90Sr, 241Am"
SAINT-VULBAS,Ain,EDF - BUGEY A - EN DECONSTRUCTION,Déchets de Moyenne Activité ou Faible Activité à Vie Courte (FMA-VC),Ventilation filters (0.0424 t),F3-2-15,"0,324784",Data updated with each new edition of the National Inventory,"3H, 55Fe, 60Co, 90Sr, 241Am"
SAINT-VULBAS,Ain,EDF - BUGEY A - EN DECONSTRUCTION,Déchets de Moyenne Activité ou Faible Activité à Vie Courte (FMA-VC),Engraved (0.072 t ),DIV3-02,"0,03744",Data updated with each new edition of the National Inventory,"3H, 55Fe, 60Co, 90Sr, 241Am"
SAINT-VULBAS,Ain,EDF - BUGEY A - EN DECONSTRUCTION,Déchets de Moyenne Activité ou Faible Activité à Vie Courte (FMA-VC),Oils (0.522 t),F3-7-01,0,Data updated with each new edition of the National Inventory,"3H, 55Fe, 60Co, 90Sr, 241Am"
SAINT-VULBAS,Ain,EDF - BUGEY A - EN DECONSTRUCTION,Déchets de Moyenne Activité ou Faible Activité à Vie Courte (FMA-VC),Organic liquids (7.134 t),F3-7-01,0,Data updated with each new edition of the National Inventory,"3H, 55Fe, 60Co, 90Sr, 241Am"
SAINT-VULBAS,Ain,EDF - BUGEY A - EN DECONSTRUCTION,Déchets de Moyenne Activité ou Faible Activité à Vie Courte (FMA-VC),Ferrous metals (7.476 t),DIV3-02,"3,21468",Data updated with each new edition of the National Inventory,"3H, 55Fe, 60Co, 90Sr, 241Am"
SAINT-VULBAS,Ain,EDF - BUGEY A - EN DECONSTRUCTION,Déchets de Moyenne Activité ou Faible Activité à Vie Courte (FMA-VC),Ferrous metals (0.467 t),F3-2-15,"0,95735",Data updated with each new edition of the National Inventory,"3H, 55Fe, 60Co, 90Sr, 241Am"
SAINT-VULBAS,Ain,EDF - BUGEY A - EN DECONSTRUCTION,Déchets de Moyenne Activité ou Faible Activité à Vie Courte (FMA-VC),Non-ferrous metals (0.40045 t),F3-2-15,"1,1172555",Data updated with each new edition of the National Inventory,"3H, 55Fe, 60Co, 90Sr, 241Am"
SAINT-VULBAS,Ain,EDF - BUGEY A - EN DECONSTRUCTION,Déchets de Moyenne Activité ou Faible Activité à Vie Courte (FMA-VC),"Plastics, rubber (0.113 t)",F3-7-01,"0,030058",Data updated with each new edition of the National Inventory,"3H, 55Fe, 60Co, 90Sr, 241Am"
SAINT-VULBAS,Ain,EDF - BUGEY A - EN DECONSTRUCTION,Déchets de Moyenne Activité ou Faible Activité à Vie Courte (FMA-VC),"Plastics, rubber (3.589 t)",DIV3-02,"2,18929",Data updated with each new edition of the National Inventory,"3H, 55Fe, 60Co, 90Sr, 241Am"
SAINT-VULBAS,Ain,EDF - BUGEY A - EN DECONSTRUCTION,Déchets de Moyenne Activité ou Faible Activité à Vie Courte (FMA-VC),"Plastics, rubber (0.076 t)",F3-01b,"0,23028",Data updated with each new edition of the National Inventory,"3H, 55Fe, 60Co, 90Sr, 241Am"
SAINT-VULBAS,Ain,EDF - BUGEY A - EN DECONSTRUCTION,Déchets de Moyenne Activité ou Faible Activité à Vie Courte (FMA-VC),Leaching solutions (0.01 t),F3-7-01,0,Data updated with each new edition of the National Inventory,"3H, 55Fe, 60Co, 90Sr, 241Am"
SAINT-VULBAS,Ain,EDF - BUGEY A - EN DECONSTRUCTION,Déchets de Moyenne Activité ou Faible Activité à Vie Courte (FMA-VC),Cistern (24 m3) (1 CI24),F3-7-01,"1,92",Data updated with each new edition of the National Inventory,"3H, 55Fe, 60Co, 90Sr, 241Am"
SAINT-VULBAS,Ain,EDF - BUGEY A - EN DECONSTRUCTION,Déchets de Moyenne Activité ou Faible Activité à Vie Courte (FMA-VC),Plastic drums (200l) - Incinerable waste (63 F6),F3-7-01,"0,945",Data updated with each new edition of the National Inventory,"3H, 55Fe, 60Co, 90Sr, 241Am"
